,Label
3700,0
30995,5
1063,0
28435,5
28482,5
3488,0
14413,1
19965,2
12534,1
21746,2
35829,5
1985,0
33988,5
13607,1
30069,5
33380,5
2917,0
23950,4
25933,3
15120,1
21372,2
22345,2
11611,1
35123,5
13008,1
4777,0
9783,1
29959,5
26160,3
13386,1
19866,2
13348,1
4904,0
32921,5
5249,0
33231,5
22760,2
4991,0
5157,0
34229,5
1252,0
12929,1
31105,5
35122,5
9959,1
30225,5
21971,2
12583,1
11774,1
6274,0
36415,5
11360,1
35767,5
8116,0
24049,4
33364,5
33263,5
8204,0
16753,1
31728,5
14149,1
31346,5
21252,2
6818,0
8641,0
6875,0
6970,0
2351,0
13986,1
16295,1
12661,1
16934,1
19754,2
10998,1
21702,2
723,0
11068,1
24059,4
1951,0
20664,2
17858,2
9401,1
23899,4
21777,2
4920,0
26363,3
1986,0
13447,1
33557,5
16167,1
2737,0
2052,0
7535,0
7747,0
13054,1
3601,0
34611,5
12968,1
850,0
19538,2
23986,4
1216,0
29379,5
17161,1
2349,0
29225,5
25847,3
27921,5
30986,5
8179,0
8455,0
21581,2
23114,2
1662,0
19524,2
22521,2
2530,0
34760,5
27247,3
18505,2
16534,1
12122,1
25232,3
32763,5
7170,0
17025,1
35096,5
20598,2
37251,5
29562,5
5810,0
32409,5
24741,3
13458,1
172,0
14491,1
7363,0
30338,5
11750,1
25543,3
6740,0
14845,1
33203,5
21500,2
7812,0
11451,1
24546,3
33014,5
5521,0
1150,0
25144,3
4136,0
24657,3
27114,3
28513,5
19832,2
12767,1
25965,3
13004,1
23202,4
3410,0
12500,1
13523,1
30966,5
20947,2
13619,1
32565,5
25040,3
33118,5
31666,5
28975,5
34327,5
28964,5
24752,3
29730,5
6331,0
10280,1
13917,1
8966,0
30791,5
11935,1
30804,5
13091,1
20117,2
10143,1
4175,0
17938,2
8753,0
880,0
5147,0
6018,0
26170,3
4422,0
23388,4
21084,2
18822,2
19531,2
15768,1
22576,2
24067,4
2108,0
18968,2
33679,5
1250,0
13069,1
9826,1
37331,5
7496,0
6178,0
127,0
33234,5
30359,5
555,0
23786,4
31142,5
12078,1
9441,1
12244,1
30911,5
27604,3
1896,0
15749,1
18492,2
16513,1
34743,5
25739,3
6543,0
26138,3
34054,5
11734,1
29655,5
18630,2
25752,3
13329,1
21869,2
13937,1
36880,5
24581,3
5895,0
16819,1
33298,5
34291,5
18389,2
18228,2
30155,5
32712,5
3733,0
15179,1
21775,2
15394,1
17240,1
18544,2
24232,3
34719,5
4769,0
27449,3
31916,5
14277,1
4792,0
32458,5
10391,1
36910,5
5165,0
17138,1
16910,1
19846,2
5060,0
5495,0
35701,5
15238,1
19900,2
13349,1
32986,5
5853,0
36405,5
24336,3
6308,0
2176,0
30122,5
13229,1
16286,1
11705,1
11934,1
24894,3
9234,1
36277,5
26527,3
26260,3
13573,1
16955,1
36751,5
24722,3
5507,0
22334,2
20858,2
23760,4
37337,5
10659,1
19565,2
23749,4
19063,2
31061,5
28412,5
18472,2
30287,5
28023,5
3374,0
18668,2
12361,1
26113,3
26834,3
31618,5
657,0
16319,1
22043,2
12713,1
21381,2
28453,5
8147,0
16553,1
26583,3
15764,1
5306,0
30985,5
16542,1
30414,5
34031,5
10455,1
34899,5
21615,2
18266,2
23091,2
9335,1
31807,5
34267,5
17148,1
21930,2
122,0
24235,3
27713,3
14982,1
4644,0
35513,5
18717,2
2459,0
20587,2
17934,2
17989,2
1518,0
34060,5
9381,1
26620,3
16671,1
25275,3
2968,0
17370,1
34498,5
32001,5
25914,3
35831,5
12592,1
20999,2
13556,1
30117,5
25628,3
12636,1
4055,0
3980,0
7976,0
1424,0
1903,0
23330,4
32267,5
15290,1
8024,0
12043,1
28598,5
26826,3
15862,1
37370,5
35780,5
25616,3
4374,0
18643,2
20671,2
9691,1
3053,0
4329,0
36429,5
15986,1
31425,5
17607,2
22658,2
10422,1
22982,2
8036,0
26030,3
21164,2
33025,5
27301,3
11431,1
13435,1
8759,0
26458,3
5566,0
707,0
12724,1
16942,1
27626,3
9170,1
13036,1
31180,5
24121,4
1730,0
29075,5
5821,0
9349,1
1419,0
4052,0
30396,5
5726,0
3880,0
36113,5
25313,3
8238,0
18669,2
2460,0
34574,5
9247,1
35952,5
18178,2
36831,5
13345,1
20303,2
18655,2
21165,2
14689,1
30062,5
2697,0
1362,0
5395,0
6853,0
36382,5
9905,1
25562,3
8942,0
5329,0
14942,1
27990,5
24739,3
9091,1
18812,2
2671,0
9791,1
29902,5
2727,0
10858,1
1494,0
35956,5
17077,1
5218,0
22675,2
28555,5
23230,4
21662,2
8525,0
21231,2
20082,2
12420,1
36983,5
1907,0
3448,0
37245,5
27522,3
29884,5
21020,2
31535,5
19669,2
19392,2
15551,1
22435,2
31100,5
13637,1
16914,1
14390,1
8129,0
18508,2
4468,0
29744,5
30761,5
25887,3
10592,1
16318,1
28868,5
28874,5
20093,2
1893,0
22468,2
32622,5
34617,5
29055,5
14318,1
22849,2
5446,0
25813,3
16503,1
28967,5
30160,5
32276,5
32242,5
27232,3
29848,5
18542,2
28795,5
28376,5
7269,0
2676,0
34673,5
36013,5
19651,2
4115,0
25875,3
10702,1
101,0
35232,5
7174,0
19987,2
1761,0
6078,0
3974,0
15010,1
12896,1
32678,5
22366,2
25997,3
7119,0
4380,0
35993,5
3485,0
26228,3
23840,4
1748,0
156,0
13340,1
28196,5
10353,1
18833,2
33018,5
12142,1
35472,5
4541,0
16959,1
31922,5
28880,5
19739,2
15386,1
19859,2
19934,2
18181,2
28610,5
28530,5
14811,1
14814,1
16592,1
3911,0
7418,0
23976,4
33315,5
5439,0
14943,1
17931,2
12041,1
30349,5
20884,2
30044,5
26209,3
14911,1
1360,0
30412,5
32756,5
32401,5
8598,0
25645,3
34185,5
22374,2
1048,0
18761,2
12359,1
23519,4
28846,5
2545,0
8643,0
4912,0
1781,0
25429,3
28008,5
36028,5
28642,5
14747,1
9022,0
35208,5
3060,0
20672,2
29006,5
36708,5
32878,5
7483,0
7653,0
36053,5
36218,5
23455,4
16031,1
12924,1
13826,1
807,0
9210,1
12919,1
8391,0
12153,1
31470,5
1094,0
15865,1
36962,5
34096,5
24972,3
19856,2
28716,5
12818,1
25675,3
29784,5
5284,0
12846,1
23468,4
27578,3
33615,5
15521,1
18637,2
692,0
3906,0
22327,2
28551,5
14861,1
32083,5
19778,2
1086,0
2241,0
11145,1
9891,1
35272,5
4009,0
21036,2
10443,1
730,0
33535,5
23336,4
25291,3
35100,5
28769,5
17687,2
27959,5
27091,3
36703,5
20495,2
27575,3
33489,5
12266,1
29347,5
32093,5
33100,5
12141,1
8088,0
14973,1
7485,0
19001,2
20266,2
5007,0
9342,1
31384,5
18682,2
34337,5
16855,1
27925,5
27719,3
36797,5
14564,1
8523,0
28048,5
32944,5
27100,3
2738,0
14789,1
34034,5
32152,5
8346,0
16214,1
5892,0
16358,1
9867,1
30314,5
4068,0
36881,5
10244,1
27222,3
31266,5
18095,2
2342,0
2159,0
4763,0
16335,1
2080,0
2197,0
12792,1
30418,5
26555,3
32257,5
10851,1
33885,5
16180,1
28124,5
34820,5
8992,0
28852,5
6537,0
21317,2
21224,2
28640,5
4934,0
18514,2
4035,0
24012,4
31,0
3831,0
2376,0
14064,1
21840,2
17792,2
7983,0
28050,5
25604,3
34354,5
26402,3
29926,5
24065,4
10835,1
16719,1
19947,2
6890,0
23381,4
17237,1
7291,0
8663,0
28486,5
6669,0
1143,0
16228,1
8639,0
4874,0
19443,2
34911,5
30263,5
14483,1
24432,3
11607,1
23979,4
9198,1
22126,2
24954,3
31099,5
7564,0
2247,0
13095,1
22834,2
28246,5
2733,0
24713,3
34458,5
17804,2
29482,5
31056,5
33432,5
23112,2
12979,1
8403,0
35130,5
12211,1
34798,5
28875,5
31371,5
32687,5
3638,0
20792,2
21860,2
30150,5
4774,0
24456,3
8645,0
2343,0
6893,0
24037,4
15601,1
23578,4
9762,1
29997,5
28291,5
20234,2
37115,5
33589,5
19233,2
15788,1
17863,2
25639,3
29803,5
245,0
8589,0
11077,1
37162,5
33999,5
29306,5
28001,5
22078,2
8719,0
24126,4
29494,5
1002,0
2927,0
34156,5
18223,2
12194,1
36879,5
1451,0
31640,5
35105,5
24763,3
31345,5
31578,5
6591,0
28742,5
7744,0
3724,0
22346,2
1866,0
19289,2
18703,2
27470,3
8456,0
16121,1
6029,0
31235,5
20561,2
14482,1
30559,5
33864,5
12926,1
32162,5
32427,5
9578,1
34186,5
1123,0
19675,2
5702,0
28238,5
32323,5
7972,0
33202,5
1039,0
7872,0
379,0
9810,1
12434,1
30933,5
32711,5
24796,3
5149,0
14944,1
28185,5
22226,2
11455,1
32587,5
3372,0
34752,5
6888,0
19278,2
18127,2
17638,2
11693,1
8999,0
29455,5
15579,1
15046,1
1882,0
29894,5
10438,1
7769,0
27372,3
3929,0
9983,1
25474,3
4758,0
7761,0
19210,2
17977,2
24107,4
13843,1
32386,5
10013,1
26252,3
9946,1
37008,5
33050,5
26151,3
8011,0
16204,1
20770,2
11876,1
10995,1
29091,5
18285,2
1889,0
35675,5
29257,5
27725,3
35986,5
18919,2
13919,1
30866,5
5056,0
36334,5
32962,5
10903,1
12886,1
34749,5
7067,0
18302,2
24246,3
35510,5
31487,5
16356,1
30234,5
11339,1
26819,3
17827,2
6263,0
20887,2
18225,2
24757,3
14006,1
18401,2
23329,4
26445,3
3133,0
11752,1
31060,5
10472,1
26561,3
27499,3
12385,1
26973,3
24363,3
2111,0
3935,0
17225,1
16468,1
14270,1
24385,3
27635,3
9736,1
21992,2
381,0
4624,0
2720,0
29777,5
21821,2
6208,0
31635,5
22729,2
10316,1
20239,2
28923,5
8039,0
22889,2
10008,1
11336,1
8766,0
9053,0
27891,3
32165,5
21941,2
3636,0
33839,5
24191,3
1378,0
26298,3
28145,5
21058,2
26829,3
13755,1
9410,1
4355,0
7160,0
2189,0
20327,2
13635,1
21282,2
35948,5
33055,5
21349,2
10156,1
37261,5
21588,2
27793,3
10711,1
25306,3
7881,0
29266,5
13777,1
35860,5
35842,5
8136,0
21038,2
20707,2
8655,0
24231,3
36727,5
4369,0
32343,5
16109,1
7978,0
27857,3
4545,0
13962,1
1958,0
24844,3
12687,1
28663,5
36560,5
4511,0
30777,5
32219,5
32608,5
22762,2
21369,2
36845,5
9816,1
6698,0
13368,1
27063,3
7596,0
4320,0
31780,5
29090,5
13469,1
20960,2
33820,5
3583,0
10647,1
18612,2
12227,1
12779,1
23249,4
37128,5
8543,0
30707,5
22767,2
4346,0
9332,1
6150,0
10409,1
24390,3
29416,5
5866,0
6179,0
21987,2
11121,1
32636,5
1421,0
2566,0
11707,1
27508,3
10669,1
31660,5
9503,1
22021,2
7086,0
14659,1
16532,1
34391,5
23680,4
8003,0
23999,4
1235,0
21281,2
459,0
23021,2
20288,2
13432,1
13085,1
10451,1
31264,5
27238,3
775,0
6309,0
30573,5
19509,2
13776,1
308,0
34445,5
18988,2
31973,5
1724,0
32088,5
13939,1
4563,0
21160,2
28528,5
1944,0
23782,4
10369,1
4501,0
16034,1
14615,1
8308,0
26735,3
7981,0
24609,3
10878,1
4806,0
30137,5
1991,0
25304,3
1220,0
1490,0
35504,5
6802,0
27283,3
16685,1
14253,1
8919,0
31989,5
30174,5
9000,0
34863,5
34213,5
19763,2
4532,0
33841,5
5541,0
6400,0
4433,0
2900,0
12870,1
3089,0
30967,5
36826,5
33743,5
19467,2
4230,0
260,0
16621,1
12286,1
15917,1
23676,4
9953,1
14283,1
9703,1
23931,4
29541,5
5142,0
30812,5
24288,3
26765,3
30874,5
6583,0
1105,0
37179,5
34212,5
7970,0
1395,0
20205,2
23231,4
2193,0
18502,2
34490,5
36857,5
2668,0
20780,2
31515,5
20946,2
5933,0
21085,2
22048,2
36630,5
21557,2
25592,3
5973,0
35441,5
1037,0
13464,1
37374,5
33319,5
2871,0
8067,0
12585,1
10035,1
26997,3
6232,0
29451,5
35007,5
31297,5
15558,1
20353,2
16820,1
26764,3
24351,3
19770,2
33613,5
2151,0
26685,3
3400,0
893,0
16963,1
26197,3
30178,5
34670,5
21489,2
33422,5
33333,5
3549,0
10970,1
16147,1
7141,0
20566,2
35741,5
20639,2
7178,0
26618,3
10303,1
3945,0
12987,1
14537,1
249,0
19489,2
33536,5
8400,0
12565,1
4700,0
27958,5
16599,1
24175,3
3695,0
22109,2
13431,1
11456,1
10812,1
14800,1
24069,4
36267,5
17229,1
12508,1
28292,5
26121,3
26033,3
29935,5
6701,0
28325,5
1187,0
25988,3
9606,1
14408,1
13884,1
25286,3
16989,1
17372,1
5275,0
19010,2
28586,5
34949,5
25341,3
7229,0
37350,5
15131,1
32079,5
10299,1
11024,1
31539,5
27089,3
25314,3
34040,5
843,0
26102,3
21244,2
26926,3
11281,1
19572,2
27325,3
20068,2
28756,5
7497,0
4110,0
31467,5
17967,2
35551,5
24505,3
11879,1
15429,1
34550,5
26415,3
34417,5
7276,0
18138,2
11994,1
2174,0
36562,5
32852,5
2797,0
2835,0
5231,0
10220,1
8152,0
30478,5
30342,5
24804,3
8464,0
3329,0
33927,5
8062,0
11655,1
17057,1
32366,5
9617,1
6529,0
19453,2
1059,0
36190,5
30198,5
11499,1
35406,5
3751,0
28735,5
12128,1
4099,0
35619,5
18469,2
8510,0
15497,1
19568,2
29567,5
1861,0
11113,1
12544,1
7171,0
29976,5
32714,5
10778,1
7356,0
37353,5
24328,3
20122,2
9527,1
10663,1
11088,1
34961,5
17907,2
8195,0
18548,2
28673,5
4645,0
30333,5
1131,0
22583,2
13536,1
3366,0
21535,2
7252,0
9962,1
3392,0
153,0
36432,5
37,0
20061,2
12223,1
17885,2
36166,5
24783,3
33788,5
23817,4
15094,1
3426,0
25717,3
1379,0
34042,5
25443,3
8940,0
23319,4
20832,2
31307,5
27024,3
15203,1
25941,3
21736,2
37325,5
20723,2
27739,3
3715,0
19750,2
18830,2
18759,2
37362,5
1217,0
35595,5
7432,0
31567,5
12719,1
3723,0
2198,0
18965,2
6618,0
9767,1
31911,5
22320,2
24183,3
21728,2
29573,5
19464,2
26824,3
13171,1
16567,1
33490,5
23125,4
13753,1
2487,0
25387,3
8964,0
11871,1
16348,1
33954,5
10898,1
23128,4
23324,4
1597,0
16822,1
1457,0
37171,5
33622,5
31171,5
6648,0
13354,1
8251,0
27628,3
1113,0
23077,2
24503,3
10656,1
30722,5
25407,3
22647,2
34294,5
23520,4
18277,2
7753,0
37030,5
24117,4
20967,2
5511,0
18227,2
7417,0
1847,0
250,0
18625,2
19909,2
15758,1
25619,3
28492,5
32461,5
8228,0
23435,4
15478,1
31784,5
1081,0
27546,3
6319,0
15966,1
32733,5
14794,1
14736,1
35607,5
22568,2
7507,0
33427,5
23973,4
31551,5
4079,0
16483,1
25229,3
21720,2
11844,1
4493,0
7767,0
25572,3
12633,1
1883,0
12261,1
5711,0
1092,0
32569,5
2606,0
9747,1
1562,0
25533,3
11927,1
14387,1
31279,5
37313,5
15174,1
4013,0
24218,3
9677,1
4357,0
32415,5
24873,3
10769,1
28609,5
25498,3
4604,0
9059,0
11907,1
19455,2
30008,5
36401,5
14745,1
28290,5
29839,5
28989,5
24134,4
33758,5
4750,0
36148,5
32993,5
16225,1
22581,2
35606,5
30725,5
10429,1
23961,4
6133,0
32809,5
26729,3
24495,3
14079,1
10842,1
2181,0
32707,5
34762,5
31029,5
11353,1
5577,0
18053,2
11108,1
27070,3
2161,0
26193,3
30154,5
25672,3
12905,1
1425,0
16980,1
2465,0
10582,1
34012,5
33836,5
22290,2
15987,1
27109,3
10342,1
21532,2
5759,0
1385,0
27375,3
26092,3
19914,2
25020,3
20772,2
16157,1
3587,0
15422,1
27723,3
18381,2
15511,1
28305,5
21067,2
22183,2
10872,1
26562,3
23943,4
8691,0
33047,5
31738,5
16641,1
19305,2
604,0
19195,2
23301,4
7727,0
31414,5
25305,3
15632,1
12480,1
6476,0
19878,2
9262,1
37409,5
35292,5
24450,3
37207,5
6938,0
26767,3
32224,5
18813,2
15952,1
28717,5
15607,1
22429,2
36774,5
29173,5
6225,0
13583,1
7185,0
27134,3
33723,5
28536,5
11730,1
13330,1
316,0
11681,1
9355,1
4288,0
18762,2
28538,5
27840,3
16972,1
35274,5
36825,5
35871,5
32886,5
6905,0
18784,2
20305,2
30188,5
31866,5
7475,0
31310,5
13714,1
20397,2
30163,5
8744,0
15356,1
22455,2
32394,5
18857,2
8933,0
24651,3
5289,0
2935,0
31050,5
29675,5
23543,4
12815,1
15652,1
23522,4
34099,5
30167,5
8311,0
18923,2
10916,1
33796,5
28641,5
29203,5
19111,2
12016,1
12292,1
9899,1
30411,5
5766,0
4603,0
9779,1
6528,0
13262,1
7860,0
32659,5
3855,0
18721,2
27020,3
20611,2
22437,2
33658,5
6002,0
7266,0
11295,1
4300,0
35417,5
24189,3
10062,1
1671,0
21967,2
2742,0
26041,3
872,0
33959,5
21416,2
7274,0
35331,5
4808,0
20213,2
4200,0
19542,2
11277,1
27509,3
7910,0
13338,1
19422,2
27122,3
26978,3
36100,5
23904,4
17364,1
31669,5
30988,5
19784,2
18367,2
5657,0
20692,2
10642,1
27230,3
22057,2
17249,1
6069,0
12447,1
6745,0
15524,1
31726,5
27160,3
32009,5
29292,5
14441,1
24501,3
9125,1
6799,0
17758,2
20314,2
36712,5
31045,5
16731,1
31023,5
17530,2
21926,2
18935,2
29694,5
275,0
3331,0
10983,1
7724,0
12108,1
23386,4
22688,2
9797,1
32527,5
18278,2
21789,2
6473,0
7153,0
5559,0
30370,5
17270,1
7700,0
36172,5
13475,1
15829,1
25593,3
12505,1
21788,2
28763,5
17717,2
4615,0
69,0
4807,0
24820,3
29728,5
23929,4
18474,2
34599,5
6389,0
29498,5
34375,5
19523,2
37157,5
36283,5
25646,3
28151,5
22269,2
33738,5
22678,2
35102,5
9281,1
27454,3
1321,0
19341,2
8221,0
6641,0
18328,2
35612,5
31819,5
14749,1
11677,1
31682,5
26357,3
435,0
33484,5
27032,3
7851,0
7628,0
16549,1
24039,4
28813,5
29990,5
15754,1
14068,1
14085,1
8243,0
24681,3
10324,1
16355,1
28074,5
30050,5
16472,1
21333,2
5291,0
26288,3
17137,1
17628,2
18455,2
19013,2
10746,1
18772,2
24975,3
18972,2
28772,5
12916,1
2341,0
24011,4
23551,4
29372,5
7990,0
20189,2
6355,0
19320,2
36787,5
22745,2
11291,1
461,0
11136,1
21438,2
9508,1
15099,1
10068,1
27535,3
35514,5
17201,1
5997,0
12616,1
29645,5
25781,3
24411,3
34182,5
12346,1
28234,5
29898,5
9629,1
32576,5
5975,0
32306,5
18765,2
25690,3
10557,1
27593,3
31131,5
31658,5
18921,2
15841,1
21751,2
1978,0
10444,1
23806,4
19348,2
14841,1
33627,5
24055,4
37050,5
35925,5
31468,5
30583,5
7708,0
10290,1
21767,2
28449,5
18986,2
15723,1
35720,5
519,0
2962,0
27943,5
28017,5
468,0
130,0
24092,4
21969,2
35672,5
32351,5
16028,1
32400,5
30580,5
1618,0
9236,1
32263,5
3967,0
30974,5
20349,2
29299,5
9011,0
29888,5
2213,0
1151,0
5006,0
30686,5
28087,5
27254,3
14778,1
29814,5
37265,5
12301,1
22663,2
25545,3
1886,0
20274,2
16748,1
17706,2
20892,2
9017,0
26852,3
30140,5
19042,2
5987,0
29703,5
20429,2
20362,2
7726,0
4477,0
25360,3
30751,5
9978,1
14221,1
15401,1
18798,2
2954,0
4661,0
12265,1
8822,0
23345,4
9764,1
26898,3
21103,2
33871,5
35890,5
9844,1
23284,4
17675,2
32300,5
17578,2
9272,1
15589,1
32105,5
1513,0
36773,5
16229,1
14824,1
31511,5
24541,3
5194,0
34903,5
25183,3
24779,3
10370,1
6894,0
10487,1
12718,1
26114,3
7340,0
19167,2
16441,1
8601,0
9388,1
12146,1
14396,1
4467,0
27246,3
31245,5
21276,2
18690,2
4103,0
17230,1
29448,5
19316,2
33511,5
32404,5
15357,1
25013,3
31095,5
6368,0
4379,0
10258,1
2894,0
33965,5
29934,5
4659,0
11875,1
4738,0
7,0
4296,0
22659,2
19743,2
20819,2
12116,1
23478,4
14113,1
28126,5
4425,0
7921,0
5823,0
20253,2
31529,5
17175,1
3150,0
7641,0
33860,5
22598,2
10607,1
1271,0
27704,3
31984,5
11826,1
5949,0
2024,0
14321,1
25552,3
34011,5
26991,3
26403,3
16990,1
16581,1
18069,2
36303,5
15556,1
36720,5
5740,0
20500,2
3008,0
15375,1
3838,0
15406,1
8917,0
26541,3
19972,2
32579,5
10762,1
31280,5
4234,0
26848,3
27147,3
700,0
18487,2
3624,0
14795,1
5492,0
15951,1
19863,2
21490,2
886,0
12053,1
5186,0
25128,3
17724,2
4091,0
6962,0
30517,5
2446,0
6422,0
13215,1
25487,3
12033,1
7469,0
32992,5
16200,1
20752,2
35225,5
16361,1
22733,2
1456,0
1070,0
32641,5
6391,0
19120,2
9775,1
16084,1
33520,5
14233,1
34920,5
35491,5
29904,5
20657,2
24111,4
3673,0
11232,1
5549,0
12599,1
33929,5
28012,5
4691,0
16886,1
22699,2
575,0
32768,5
19738,2
22189,2
3266,0
29845,5
148,0
12748,1
12606,1
29337,5
9601,1
112,0
19299,2
33583,5
4269,0
25100,3
36328,5
24115,4
26985,3
16072,1
23182,4
27350,3
29799,5
25571,3
20207,2
6836,0
7459,0
18461,2
13534,1
24360,3
2236,0
18807,2
25970,3
9843,1
36293,5
11056,1
4798,0
14970,1
26059,3
14089,1
35589,5
30232,5
18321,2
23122,4
18656,2
17398,1
